Diagnosis,ICD-10 Code,ICD Description,Similarity Score,Justification,Alternative Suggestions,Needs Review
Accidents occurring in unspecified place,A01.00,,0.07620825618505478,The diagnosis 'Accidents occurring in unspecified place' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acetonuria,A01.00,,0.11805080622434616,The diagnosis 'Acetonuria' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acidosis,A01.00,,0.16015419363975525,The diagnosis 'Acidosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acquired absence of both cervix and uterus,Z98.41,,0.04361286014318466,The diagnosis 'Acquired absence of both cervix and uterus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Acquired absence of breast and nipple,A01.00,,0.13742054998874664,The diagnosis 'Acquired absence of breast and nipple' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acquired absence of intestine (large) (small),A01.00,,-0.00016041100025177002,The diagnosis 'Acquired absence of intestine (large) (small)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acquired absence of kidney,A01.00,,0.0722767636179924,The diagnosis 'Acquired absence of kidney' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acquired absence of left breast and nipple,Z98.41,,0.15726198256015778,The diagnosis 'Acquired absence of left breast and nipple' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Acquired absence of organ, genital organs",A01.00,,0.09413909167051315,"The diagnosis 'Acquired absence of organ, genital organs' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Acquired absence of other right toe(s),A01.00,,0.08120479434728622,The diagnosis 'Acquired absence of other right toe(s)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acquired absence of other specified parts of digestive tract,A00.9,,0.03560877591371536,The diagnosis 'Acquired absence of other specified parts of digestive tract' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Acquired absence of right foot,A01.00,,0.10892243683338165,The diagnosis 'Acquired absence of right foot' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acquired coagulation factor deficiency,A00.9,,0.023304574191570282,The diagnosis 'Acquired coagulation factor deficiency' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
"Acquired hemolytic anemia, unspecified",Z98.41,,0.061592672020196915,"The diagnosis 'Acquired hemolytic anemia, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Acquired hypertrophic pyloric stenosis,A01.00,,0.01630612090229988,The diagnosis 'Acquired hypertrophic pyloric stenosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acquired keratosis [keratoderma] palmaris et plantaris,A01.00,,0.0072409603744745255,The diagnosis 'Acquired keratosis [keratoderma] palmaris et plantaris' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Actinic keratosis,A01.00,,0.07117733359336853,The diagnosis 'Actinic keratosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute alcoholic hepatitis,A01.00,,0.09238816797733307,The diagnosis 'Acute alcoholic hepatitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Acute alcoholic intoxication in alcoholism, continuous",A01.00,,0.07527467608451843,"The diagnosis 'Acute alcoholic intoxication in alcoholism, continuous' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Acute and chronic cholecystitis,A01.00,,0.08426493406295776,The diagnosis 'Acute and chronic cholecystitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute and chronic respiratory failure with hypercapnia,A00.9,,-0.05975233390927315,The diagnosis 'Acute and chronic respiratory failure with hypercapnia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Acute and chronic respiratory failure with hypoxia,Z98.41,,-0.04455891251564026,The diagnosis 'Acute and chronic respiratory failure with hypoxia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Acute and subacute hepatic failure with coma,A01.00,,0.011123592965304852,The diagnosis 'Acute and subacute hepatic failure with coma' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute and subacute hepatic failure without coma,A01.00,,0.008685353212058544,The diagnosis 'Acute and subacute hepatic failure without coma' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute and subacute infective endocarditis,A01.00,,0.060638390481472015,The diagnosis 'Acute and subacute infective endocarditis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute and subacute necrosis of liver,A01.00,,0.10740571469068527,The diagnosis 'Acute and subacute necrosis of liver' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute appendicitis with generalized peritonitis,A01.00,,0.08486321568489075,The diagnosis 'Acute appendicitis with generalized peritonitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute bronchitis,A01.00,,0.0794399082660675,The diagnosis 'Acute bronchitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute bronchitis due to other specified organisms,A01.00,,0.016493994742631912,The diagnosis 'Acute bronchitis due to other specified organisms' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute cor pulmonale,A00.9,,0.07091248035430908,The diagnosis 'Acute cor pulmonale' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Acute diastolic (congestive) heart failure,A01.00,,0.0006038807332515717,The diagnosis 'Acute diastolic (congestive) heart failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Acute edema of lung, unspecified",A01.00,,0.03746229410171509,"The diagnosis 'Acute edema of lung, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Acute embolism and thrombosis of deep veins of left upper extremity,A01.00,,0.0736580640077591,The diagnosis 'Acute embolism and thrombosis of deep veins of left upper extremity' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute embolism and thrombosis of deep veins of right upper extremity,A01.00,,0.07102051377296448,The diagnosis 'Acute embolism and thrombosis of deep veins of right upper extremity' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute embolism and thrombosis of left femoral vein,Z98.41,,0.13344135880470276,The diagnosis 'Acute embolism and thrombosis of left femoral vein' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Acute embolism and thrombosis of left iliac vein,A00.9,,0.13388299942016602,The diagnosis 'Acute embolism and thrombosis of left iliac vein' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Acute embolism and thrombosis of left popliteal vein,Z98.41,,0.07346270978450775,The diagnosis 'Acute embolism and thrombosis of left popliteal vein' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Acute embolism and thrombosis of superficial veins of left upper extremity,A01.00,,0.07933773100376129,The diagnosis 'Acute embolism and thrombosis of superficial veins of left upper extremity' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute embolism and thrombosis of unspecified deep veins of right lower extremity,Z98.41,,0.06070028245449066,The diagnosis 'Acute embolism and thrombosis of unspecified deep veins of right lower extremity' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Acute esophagitis,A01.00,,0.05229358375072479,The diagnosis 'Acute esophagitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute glomerulonephritis with unspecified pathological lesion in kidney,A01.00,,0.05255575478076935,The diagnosis 'Acute glomerulonephritis with unspecified pathological lesion in kidney' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute kidney failure with lesion of tubular necrosis,A01.00,,0.059689104557037354,The diagnosis 'Acute kidney failure with lesion of tubular necrosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute kidney failure with tubular necrosis,A01.00,,0.05135118216276169,The diagnosis 'Acute kidney failure with tubular necrosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Acute kidney failure, unspecified",A01.00,,0.03885782137513161,"The diagnosis 'Acute kidney failure, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Acute laryngitis without mention of obstruction,A01.00,,0.021607816219329834,The diagnosis 'Acute laryngitis without mention of obstruction' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Acute myeloblastic leukemia, in relapse",A01.00,,0.04290396347641945,"The diagnosis 'Acute myeloblastic leukemia, in relapse' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Acute myeloid leukemia, in remission",A01.00,,0.013395777903497219,"The diagnosis 'Acute myeloid leukemia, in remission' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Acute myeloid leukemia, without mention of having achieved remission",A01.00,,0.011229576542973518,"The diagnosis 'Acute myeloid leukemia, without mention of having achieved remission' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,A01.00,,-0.0316949337720871,The diagnosis 'Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute on chronic combined systolic and diastolic heart failure,A01.00,,-0.024177007377147675,The diagnosis 'Acute on chronic combined systolic and diastolic heart failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute on chronic diastolic (congestive) heart failure,A01.00,,-0.005910841748118401,The diagnosis 'Acute on chronic diastolic (congestive) heart failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute on chronic diastolic heart failure,A01.00,,-0.007800282910466194,The diagnosis 'Acute on chronic diastolic heart failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute on chronic systolic (congestive) heart failure,A01.00,,-0.0029354607686400414,The diagnosis 'Acute on chronic systolic (congestive) heart failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute on chronic systolic heart failure,A01.00,,0.002946736989542842,The diagnosis 'Acute on chronic systolic heart failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute pancreatitis,A01.00,,0.05911925807595253,The diagnosis 'Acute pancreatitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Acute pancreatitis, unspecified",Z98.41,,0.05226569622755051,"The diagnosis 'Acute pancreatitis, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Acute pericarditis, unspecified",A01.00,,0.09804058820009232,"The diagnosis 'Acute pericarditis, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Acute post-thoracotomy pain,A01.00,,0.09051421284675598,The diagnosis 'Acute post-thoracotomy pain' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute posthemorrhagic anemia,A01.00,,0.0766114592552185,The diagnosis 'Acute posthemorrhagic anemia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute pulmonary edema,A01.00,,0.039089590311050415,The diagnosis 'Acute pulmonary edema' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute pulmonary insufficiency following nonthoracic surgery,A01.00,,0.014512342400848866,The diagnosis 'Acute pulmonary insufficiency following nonthoracic surgery' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute pyelonephritis,A01.00,,0.03856043145060539,The diagnosis 'Acute pyelonephritis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute respiratory failure,A01.00,,0.015522700734436512,The diagnosis 'Acute respiratory failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute respiratory failure following trauma and surgery,A01.00,,-0.014820890501141548,The diagnosis 'Acute respiratory failure following trauma and surgery' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute respiratory failure with hypoxia,Z98.41,,-0.023090334609150887,The diagnosis 'Acute respiratory failure with hypoxia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",Z98.41,,-0.03600845858454704,"The diagnosis 'Acute respiratory failure, unspecified whether with hypoxia or hypercapnia' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Acute systolic (congestive) heart failure,A01.00,,0.0040201665833592415,The diagnosis 'Acute systolic (congestive) heart failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute systolic heart failure,A01.00,,0.009647272527217865,The diagnosis 'Acute systolic heart failure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute vascular insufficiency of intestine,A01.00,,0.0009847595356404781,The diagnosis 'Acute vascular insufficiency of intestine' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Acute venous embolism and thrombosis of subclavian veins,A01.00,,0.06049386411905289,The diagnosis 'Acute venous embolism and thrombosis of subclavian veins' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Acute venous embolism and thrombosis of upper extremity, unspecified",Z98.41,,0.06797605007886887,"The diagnosis 'Acute venous embolism and thrombosis of upper extremity, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Adhesive capsulitis of shoulder,A01.00,,0.054555494338274,The diagnosis 'Adhesive capsulitis of shoulder' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Adjustment disorder with other symptoms,A01.00,,0.002250896766781807,The diagnosis 'Adjustment disorder with other symptoms' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Adrenal cortical steroids causing adverse effects in therapeutic use,Z98.41,,-0.0020941095426678658,The diagnosis 'Adrenal cortical steroids causing adverse effects in therapeutic use' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Adult failure to thrive,A01.00,,0.07207292318344116,The diagnosis 'Adult failure to thrive' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Adult hypertrophic pyloric stenosis,A01.00,,0.02444772608578205,The diagnosis 'Adult hypertrophic pyloric stenosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Adverse effect of anticoagulants, initial encounter",A01.00,,0.008523670956492424,"The diagnosis 'Adverse effect of anticoagulants, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Adverse effect of antineoplastic and immunosuppressive drugs, initial encounter",Z98.41,,-0.0012957076542079449,"The diagnosis 'Adverse effect of antineoplastic and immunosuppressive drugs, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Adverse effect of cephalosporins and other beta-lactam antibiotics, initial encounter",A01.00,,-0.019263112917542458,"The diagnosis 'Adverse effect of cephalosporins and other beta-lactam antibiotics, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Adverse effect of diagnostic agents, initial encounter",A01.00,,0.008483674377202988,"The diagnosis 'Adverse effect of diagnostic agents, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Adverse effect of drugs affecting uric acid metabolism, initial encounter",Z98.41,,-0.003901965916156769,"The diagnosis 'Adverse effect of drugs affecting uric acid metabolism, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Adverse effect of loop [high-ceiling] diuretics, initial encounter",A01.00,,0.0031372923403978348,"The diagnosis 'Adverse effect of loop [high-ceiling] diuretics, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Adverse effect of other antihypertensive drugs, initial encounter",A01.00,,-0.03810763731598854,"The diagnosis 'Adverse effect of other antihypertensive drugs, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Adverse effect of other opioids, initial encounter",Z98.41,,0.040702808648347855,"The diagnosis 'Adverse effect of other opioids, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Adverse effect of penicillins, initial encounter",A01.00,,0.0779762789607048,"The diagnosis 'Adverse effect of penicillins, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Adverse effect of sulfonamides, initial encounter",Z98.41,,0.025053218007087708,"The diagnosis 'Adverse effect of sulfonamides, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Adverse effect of unspecified antiepileptic and sedative-hypnotic drugs, initial encounter",Z98.41,,0.013853773474693298,"The diagnosis 'Adverse effect of unspecified antiepileptic and sedative-hypnotic drugs, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Adverse effect of unspecified antipsychotics and neuroleptics, sequela",A01.00,,0.003993431106209755,"The diagnosis 'Adverse effect of unspecified antipsychotics and neuroleptics, sequela' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture",A00.9,,0.03351479396224022,"The diagnosis 'Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.1 - ; A00.0 - ,True
Age-related osteoporosis without current pathological fracture,Z98.41,,0.024042556062340736,The diagnosis 'Age-related osteoporosis without current pathological fracture' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Alcohol abuse with intoxication, unspecified",Z98.41,,0.09221473336219788,"The diagnosis 'Alcohol abuse with intoxication, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Alcohol abuse with unspecified alcohol-induced disorder,A01.00,,0.08132223784923553,The diagnosis 'Alcohol abuse with unspecified alcohol-induced disorder' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Alcohol abuse, continuous",Z98.41,,0.14338308572769165,"The diagnosis 'Alcohol abuse, continuous' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Alcohol abuse, in remission",A01.00,,0.07723591476678848,"The diagnosis 'Alcohol abuse, in remission' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Alcohol abuse, uncomplicated",A00.9,,0.15219219028949738,"The diagnosis 'Alcohol abuse, uncomplicated' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.1 - ; A00.0 - ,True
"Alcohol abuse, unspecified",A01.00,,0.17300525307655334,"The diagnosis 'Alcohol abuse, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,A01.00,,0.030597403645515442,The diagnosis 'Alcohol dependence with alcohol-induced psychotic disorder with hallucinations' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Alcohol dependence with intoxication, unspecified",Z98.41,,0.054185472428798676,"The diagnosis 'Alcohol dependence with intoxication, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Alcohol dependence with withdrawal, unspecified",Z98.41,,0.044726092368364334,"The diagnosis 'Alcohol dependence with withdrawal, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Alcohol dependence, in remission",A01.00,,0.04565466195344925,"The diagnosis 'Alcohol dependence, in remission' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Alcohol dependence, uncomplicated",A01.00,,0.06181419640779495,"The diagnosis 'Alcohol dependence, uncomplicated' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Alcohol induced acute pancreatitis without necrosis or infection,A01.00,,0.01885290816426277,The diagnosis 'Alcohol induced acute pancreatitis without necrosis or infection' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Alcohol use, unspecified with unspecified alcohol-induced disorder",Z98.41,,0.06425699591636658,"The diagnosis 'Alcohol use, unspecified with unspecified alcohol-induced disorder' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Alcohol withdrawal,A01.00,,0.12238374352455139,The diagnosis 'Alcohol withdrawal' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Alcohol withdrawal delirium,A01.00,,0.0010593384504318237,The diagnosis 'Alcohol withdrawal delirium' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Alcohol-induced chronic pancreatitis,A01.00,,0.019958212971687317,The diagnosis 'Alcohol-induced chronic pancreatitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Alcoholic cirrhosis of liver,A01.00,,0.07005634903907776,The diagnosis 'Alcoholic cirrhosis of liver' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
