procedure_code,procedure_descrption,category,proc_sk
87070,"Culture, bacterial",Lab,151
71020,Chest X-ray,Imaging,152
99213,Pediatric office visit,Evaluation & Management,153
99214,Office/outpatient visit EST - extended,Evaluation & Management,154
00520,Unknown Procedure,Procedure,155
67028,Retinal surgery,Surgery,156
11102,Skin lesion excision,Procedure,157
11102,Skin lesion excision,Procedure,158
80048,Thyroid panel,Lab,159
90792,Rheumatology consult,Evaluation & Management,160
88305,Tissue exam by pathologist,Lab,161
96372,Therapeutic injection,Procedure,162
11721,Debridement nail,Procedure,163
92014,Eye exam & treatment,Evaluation & Management,164
31500,Intubation,Procedure,165
80047,Renal panel,Lab,166
67028,Retinal surgery,Surgery,167
93458,Cardiac cath,Procedure,168
80047,Renal panel,Lab,169
95117,Allergy injection,Procedure,170
58150,Cesarean delivery,Surgery,171
A0425,Ambulance service,Procedure,172
99213,Office visit,Evaluation & Management,173
96413,Chemotherapy administration,Procedure,174
27447,Knee replacement,Surgery,175
80047,Unknown Procedure,Lab,176
94010,Pulmonary function test,Diagnostic,177
90792,Rheumatology consult,Evaluation & Management,178
35301,Bypass graft,Surgery,179
90792,Rheumatology consult,Evaluation & Management,180
11102,Skin lesion excision,Procedure,181
88305,Pathology tissue exam,Lab,182
92014,Ophthalmology exam,Evaluation & Management,183
00520,Anesthesia for procedures,Procedure,184
99213,Office/outpatient visit EST,Evaluation & Management,185
71020,Chest X-ray,Imaging,186
96413,Chemotherapy administration,Procedure,187
99214,"Office/outpatient visit, est",Evaluation & Management,188
93306,Echocardiogram,Imaging,189
90792,Rheumatology consult,Evaluation & Management,190
A0425,Ambulance service,Procedure,191
31500,Intubation,Procedure,192
20610,"Arthrocentesis, small joint",Procedure,193
11102,Skin lesion excision,Procedure,194
11721,Debridement nail,Procedure,195
70450,CT Head without contrast,Imaging,196
31231,Nasal polypectomy,Procedure,197
93458,Cardiac cath,Procedure,198
71020,Chest X-ray,Imaging,199
99213,Office/outpatient visit EST,Evaluation & Management,200
90791,Psychiatric diagnostic eval,Evaluation & Management,201
31500,Intubation,Procedure,202
12001,Simple repair of wound,Procedure,203
31231,Nasal polypectomy,Procedure,204
49900,Repair of abdominal wall,Surgery,205
11721,Debridement nail,Procedure,206
94010,Pulmonary function test,Diagnostic,207
50360,Dialysis access procedure,Procedure,208
27447,Knee replacement,Surgery,209
71020,Chest X-ray,Imaging,210
35301,Bypass graft,Surgery,211
92014,Ophthalmology exam,Evaluation & Management,212
80050,General health panel,Lab,213
87070,"Culture, bacterial",Lab,214
67028,Retinal surgery,Surgery,215
99213,Pediatric office visit,Evaluation & Management,216
49900,Appendectomy,Surgery,217
11721,Debridement nail,Procedure,218
35301,Bypass graft,Surgery,219
93458,Cardiac cath,Procedure,220
35301,Bypass graft,Surgery,221
12001,Simple repair of wound,Procedure,222
00520,Anesthesia for procedures,Procedure,223
88305,Pathology tissue exam,Lab,224
90791,Psychiatric diagnostic eval,Evaluation & Management,225
11721,Debridement nail,Procedure,226
15734,"Muscle-skin graft, trunk",Procedure,227
80047,Renal panel,Lab,228
99213,Office/outpatient visit EST,Evaluation & Management,229
96372,Unknown Procedure,Procedure,230
49900,Appendectomy,Surgery,231
99213,Pediatric office visit,Evaluation & Management,232
80048,Thyroid panel,Lab,233
11721,Debridement nail,Procedure,234
99213,Office/outpatient visit EST,Evaluation & Management,235
90792,Rheumatology consult,Evaluation & Management,236
15734,Scar revision,Procedure,237
87070,"Culture, bacterial",Lab,238
31231,"Nasal endoscopy, dx",Procedure,239
11721,"Debride nail, 6 or more",Procedure,240
80047,Renal panel,Lab,241
17000,Destruction benign lesion,Procedure,242
50360,Dialysis access procedure,Procedure,243
49900,Appendectomy,Surgery,244
54520,Orchiectomy,Surgery,245
15734,Scar revision,Procedure,246
12001,Simple repair of wound,Procedure,247
88305,Pathology tissue exam,Lab,248
11721,Debridement nail,Procedure,249
99213,Office/outpatient visit EST,Evaluation & Management,250
50360,Dialysis access procedure,Procedure,251
76830,Pelvic ultrasound,Imaging,252
92014,Ophthalmology exam,Evaluation & Management,253
90791,Psychiatric diagnostic eval,Evaluation & Management,254
27447,Knee replacement,Surgery,255
96372,Therapeutic injection,Procedure,256
88305,Pathology tissue exam,Lab,257
95810,"Polysomnography, 4 or more",Diagnostic,258
58150,Total hysterectomy,Surgery,259
93000,Electrocardiogram,Diagnostic,260
95117,Allergy injection,Procedure,261
49900,Appendectomy,Surgery,262
71020,Chest X-ray,Imaging,263
90791,Psychiatric diagnostic eval,Evaluation & Management,264
11721,Debridement nail,Procedure,265
11721,Debridement nail,Procedure,266
95115,Allergy testing,Procedure,267
95115,Allergy testing,Procedure,268
99213,"Office/outpatient visit, est",Evaluation & Management,269
92511,Nasopharyngoscopy,Diagnostic,270
88305,Tissue exam by pathologist,Lab,271
35301,Bypass graft,Surgery,272
43239,"Upper GI endoscopy, biopsy",Procedure,273
88305,Pathology tissue exam,Lab,274
43239,EGD,Procedure,275
92014,Ophthalmology exam,Evaluation & Management,276
70450,CT Head without contrast,Imaging,277
90791,Psychiatric diagnostic eval,Evaluation & Management,278
71020,Chest X-ray,Imaging,279
92511,Speech audiometry,Diagnostic,280
50360,Transplantation of kidney,Procedure,281
90791,Psychiatric diagnostic eval,Evaluation & Management,282
11721,Debridement nail,Procedure,283
88305,Pathology tissue exam,Lab,284
90471,Immunization administration,Preventive,285
88305,Pathology tissue exam,Lab,286
95810,"Polysomnography, 4 or more",Diagnostic,287
58150,Cesarean delivery,Surgery,288
94010,Pulmonary function test,Diagnostic,289
67028,Injection eye drug,Surgery,290
99213,Pediatric office visit,Evaluation & Management,291
93000,"Electrocardiogram, complete",Diagnostic,292
80048,Thyroid panel,Lab,293
49900,Repair of abdominal wall,Surgery,294
71020,Chest X-ray,Imaging,295
71020,Chest X-ray,Imaging,296
88305,Pathology tissue exam,Lab,297
12001,Simple repair of wound,Procedure,298
88305,Pathology tissue exam,Lab,299
96372,Therapeutic injection,Procedure,300
99213,Pediatric office visit,Evaluation & Management,301
87070,"Culture, bacterial",Lab,302
17000,Destruction benign lesion,Procedure,303
90791,Psychiatric diagnostic eval,Evaluation & Management,304
A0425,Ambulance service,Procedure,305
17000,Destruction benign lesion,Procedure,306
54520,Orchiectomy,Surgery,307
80048,Thyroid panel,Lab,308
88305,Pathology tissue exam,Lab,309
90471,Immunization administration,Preventive,310
95816,EEG,Diagnostic,311
99213,Pediatric office visit,Evaluation & Management,312
31500,Intubation,Procedure,313
99213,Office/outpatient visit EST,Evaluation & Management,314
99213,Office/outpatient visit EST,Evaluation & Management,315
95117,Allergy injection,Procedure,316
00520,Anesthesia for procedures,Procedure,317
35301,Bypass graft,Surgery,318
54520,Orchiectomy,Surgery,319
99213,Office/outpatient visit EST,Evaluation & Management,320
71020,Chest X-ray,Imaging,321
90471,Immunization administration,Preventive,322
15734,Scar revision,Procedure,323
90471,Immunization administration,Preventive,324
35301,Bypass graft,Surgery,325
95810,Nerve conduction study,Diagnostic,326
20610,"Arthrocentesis, small joint",Procedure,327
80048,Thyroid panel,Lab,328
35301,Bypass graft,Surgery,329
95810,Nerve conduction study,Diagnostic,330
35301,Bypass graft,Surgery,331
12001,Simple repair of wound,Procedure,332
95816,EEG,Diagnostic,333
90792,Rheumatology consult,Evaluation & Management,334
90792,Rheumatology consult,Evaluation & Management,335
27447,Knee replacement,Surgery,336
99213,"Office/outpatient visit, est",Evaluation & Management,337
93000,Electrocardiogram,Diagnostic,338
70450,Ct head/brain w/o dye,Imaging,339
95810,Nerve conduction study,Diagnostic,340
99214,Office/outpatient visit EST - extended,Evaluation & Management,341
95810,Nerve conduction study,Diagnostic,342
50360,Dialysis access procedure,Procedure,343
96372,Therapeutic injection,Procedure,344
52000,Cystoscopy,Procedure,345
35301,Bypass graft,Surgery,346
90792,Rheumatology consult,Evaluation & Management,347
80047,Renal panel,Lab,348
15734,Scar revision,Procedure,349
15734,"Muscle-skin graft, trunk",Procedure,350
20610,"Arthrocentesis, small joint",Procedure,351
90471,Immunization administration,Preventive,352
90791,Psychiatric diagnostic eval,Evaluation & Management,353
88305,Pathology tissue exam,Lab,354
20610,"Arthrocentesis, small joint",Procedure,355
95117,Allergy injection,Procedure,356
90792,Rheumatology consult,Evaluation & Management,357
71020,Chest X-ray,Imaging,358
99214,Office visit extended,Evaluation & Management,359
99214,Office visit extended,Evaluation & Management,360
35301,Bypass graft,Surgery,361
58150,Total hysterectomy,Surgery,362
95810,"Polysomnography, 4 or more",Diagnostic,363
80050,General health panel,Lab,364
20610,"Arthrocentesis, small joint",Procedure,365
49900,Appendectomy,Surgery,366
43239,EGD,Procedure,367
95816,EEG,Diagnostic,368
90791,Psychiatric diagnostic eval,Evaluation & Management,369
99213,Office visit,Evaluation & Management,370
88305,Pathology tissue exam,Lab,371
93000,Electrocardiogram,Diagnostic,372
90792,Rheumatology consult,Evaluation & Management,373
58150,Cesarean delivery,Surgery,374
95117,Allergy injection,Procedure,375
90471,Immunization administration,Preventive,376
95816,EEG,Diagnostic,377
71020,Chest X-ray,Imaging,378
11721,Debridement nail,Procedure,379
95117,Allergy injection,Procedure,380
90471,Immunization administration,Preventive,381
90792,Rheumatology consult,Evaluation & Management,382
88305,Pathology tissue exam,Lab,383
90791,Psychiatric diagnostic eval,Evaluation & Management,384
96372,Therapeutic injection,Procedure,385
15734,Scar revision,Procedure,386
71020,Chest X-ray,Imaging,387
90471,Immunization administration,Preventive,388
90792,Unknown Procedure,Evaluation & Management,389
80050,General health panel,Lab,390
99213,Office/outpatient visit EST,Evaluation & Management,391
93458,Cardiac cath,Procedure,392
80050,General health panel,Lab,393
95816,EEG,Diagnostic,394
99214,"Office/outpatient visit, est",Evaluation & Management,395
12001,Simple repair of wound,Procedure,396
67028,Retinal surgery,Surgery,397
67028,Retinal surgery,Surgery,398
99214,Office/outpatient visit EST - extended,Evaluation & Management,399
43239,EGD,Procedure,400
90791,Psychiatric diagnostic eval,Evaluation & Management,401
31231,Nasal polypectomy,Procedure,402
88305,Pathology tissue exam,Lab,403
99213,"Office/outpatient visit, est",Evaluation & Management,404
35301,Bypass graft,Surgery,405
43239,EGD,Procedure,406
67028,Retinal surgery,Surgery,407
15734,Scar revision,Procedure,408
76830,"Transvaginal us, non-ob",Imaging,409
95115,Allergy testing,Procedure,410
31231,Nasal polypectomy,Procedure,411
90792,Rheumatology consult,Evaluation & Management,412
99213,"Office/outpatient visit, est",Evaluation & Management,413
99285,Emergency department visit - high severity,Emergency,414
11721,"Debride nail, 6 or more",Procedure,415
90471,Immunization administration,Preventive,416
80050,General health panel,Lab,417
99213,Office visit,Evaluation & Management,418
31500,Intubation,Procedure,419
95810,Nerve conduction study,Diagnostic,420
35301,Bypass graft,Surgery,421
94010,Breathing capacity test,Diagnostic,422
88305,Tissue exam by pathologist,Lab,423
88305,Tissue exam by pathologist,Lab,424
00520,Anesthesia for procedures,Procedure,425
80048,Thyroid panel,Lab,426
80047,Renal panel,Lab,427
99214,Office/outpatient visit EST - extended,Evaluation & Management,428
80048,Basic metabolic panel,Lab,429
50360,Dialysis access procedure,Procedure,430
20610,"Arthrocentesis, small joint",Procedure,431
12001,Simple repair of wound,Procedure,432
99214,Office/outpatient visit EST - extended,Evaluation & Management,433
A0425,Ambulance service,Procedure,434
90792,Unknown Procedure,Evaluation & Management,435
35301,Bypass graft,Surgery,436
99213,Office/outpatient visit EST,Evaluation & Management,437
11102,Skin lesion excision,Procedure,438
11721,Debridement nail,Procedure,439
94010,Pulmonary function test,Diagnostic,440
90471,Immunization administration,Preventive,441
99213,Office visit,Evaluation & Management,442
90471,Immunization administration,Preventive,443
71020,Chest X-ray,Imaging,444
35301,Bypass graft,Surgery,445
35301,Bypass graft,Surgery,446
93458,Cardiac cath,Procedure,447
00520,Anesthesia for procedures,Procedure,448
20610,"Drain/inject, joint/bursa",Procedure,449
17000,Destruction benign lesion,Procedure,450
11721,"Debride nail, 6 or more",Procedure,451
90471,Immunization administration,Preventive,452
95810,Nerve conduction study,Diagnostic,453
27447,Knee replacement,Surgery,454
87070,"Culture, bacteria, other",Lab,455
71020,Chest X-ray,Imaging,456
96413,Chemotherapy administration,Procedure,457
96372,Therapeutic injection,Procedure,458
71020,Chest X-ray,Imaging,459
88305,Pathology tissue exam,Lab,460
96413,Chemotherapy administration,Procedure,461
27447,Knee replacement,Surgery,462
90791,Psychiatric diagnostic eval,Evaluation & Management,463
49900,Appendectomy,Surgery,464
71020,Chest X-ray,Imaging,465
95816,EEG,Diagnostic,466
96372,Therapeutic injection,Procedure,467
88305,Pathology tissue exam,Lab,468
90791,Psychiatric diagnostic eval,Evaluation & Management,469
99213,Office/outpatient visit EST,Evaluation & Management,470
15734,Scar revision,Procedure,471
88305,Pathology tissue exam,Lab,472
90792,Unknown Procedure,Evaluation & Management,473
15734,Scar revision,Procedure,474
93306,Echocardiogram,Imaging,475
80050,General health panel,Lab,476
95816,EEG,Diagnostic,477
92014,Ophthalmology exam,Evaluation & Management,478
80050,General health panel,Lab,479
99214,Office/outpatient visit EST - extended,Evaluation & Management,480
35301,Bypass graft,Surgery,481
90792,Rheumatology consult,Evaluation & Management,482
71020,Chest X-ray,Imaging,483
11721,Debridement nail,Procedure,484
43239,"Upper GI endoscopy, biopsy",Procedure,485
88305,Pathology tissue exam,Lab,486
70450,CT Head without contrast,Imaging,487
43239,EGD,Procedure,488
67028,Retinal surgery,Surgery,489
71020,Chest X-ray,Imaging,490
80050,General health panel,Lab,491
11721,Debridement nail,Procedure,492
80050,General health panel,Lab,493
99214,Office/outpatient visit EST - extended,Evaluation & Management,494
99213,Office visit,Evaluation & Management,495
99285,Emergency department visit - high severity,Emergency,496
90792,Rheumatology consult,Evaluation & Management,497
93458,Cardiac cath,Procedure,498
94010,Pulmonary function test,Diagnostic,499
A0425,Ambulance service,Procedure,500
80048,Thyroid panel,Lab,501
87070,"Culture, bacterial",Lab,502
43239,EGD,Procedure,503
54520,Orchiectomy,Surgery,504
49900,Appendectomy,Surgery,505
11102,Skin lesion excision,Procedure,506
99213,Pediatric office visit,Evaluation & Management,507
99214,Office/outpatient visit EST - extended,Evaluation & Management,508
71020,Chest X-ray,Imaging,509
35301,Rechanneling of artery,Surgery,510
90471,Immunization admin,Preventive,511
99213,Office/outpatient visit EST,Evaluation & Management,512
95816,"Eeg, awake and drowsy",Diagnostic,513
90792,Rheumatology consult,Evaluation & Management,514
11102,Skin lesion excision,Procedure,515
70450,CT Head without contrast,Imaging,516
54520,Orchiectomy,Surgery,517
80048,Thyroid panel,Lab,518
20610,"Drain/inject, joint/bursa",Procedure,519
94010,Pulmonary function test,Diagnostic,520
88305,Pathology tissue exam,Lab,521
35301,Bypass graft,Surgery,522
99214,Office/outpatient visit EST - extended,Evaluation & Management,523
90792,Rheumatology consult,Evaluation & Management,524
88305,Tissue exam by pathologist,Lab,525
12001,Simple repair of wound,Procedure,526
99285,Emergency department visit - high severity,Emergency,527
20610,"Arthrocentesis, small joint",Procedure,528
58150,Cesarean delivery,Surgery,529
11721,Debridement nail,Procedure,530
00520,Anesthesia for procedures,Procedure,531
31231,Nasal polypectomy,Procedure,532
87070,"Culture, bacterial",Lab,533
87070,"Culture, bacterial",Lab,534
43239,"Upper GI endoscopy, biopsy",Procedure,535
99214,Office visit extended,Evaluation & Management,536
15734,Scar revision,Procedure,537
11102,Skin lesion excision,Procedure,538
90791,Psychiatric diagnostic eval,Evaluation & Management,539
90471,Immunization administration,Preventive,540
43239,EGD,Procedure,541
67028,Retinal surgery,Surgery,542
00520,Anesthesia for procedures,Procedure,543
15734,Scar revision,Procedure,544
93306,Echocardiogram,Imaging,545
99213,Office/outpatient visit EST,Evaluation & Management,546
80050,General health panel,Lab,547
15734,"Muscle-skin graft, trunk",Procedure,548
11721,Debridement nail,Procedure,549
92511,Speech audiometry,Diagnostic,550
A0425,Ambulance service,Procedure,551
99213,Pediatric office visit,Evaluation & Management,552
99213,Pediatric office visit,Evaluation & Management,553
70450,CT Head without contrast,Imaging,554
99213,"Office/outpatient visit, est",Evaluation & Management,555
99285,Emergency department visit - high severity,Emergency,556
92511,Speech audiometry,Diagnostic,557
11721,Debridement nail,Procedure,558
67028,Retinal surgery,Surgery,559
71020,Chest X-ray,Imaging,560
31231,"Nasal endoscopy, dx",Procedure,561
88305,Pathology tissue exam,Lab,562
31500,Intubation,Procedure,563
67028,Retinal surgery,Surgery,564
80050,General health panel,Lab,565
99213,Office/outpatient visit EST,Evaluation & Management,566
96372,Therapeutic injection,Procedure,567
17000,Destroy benign/premlg lesion,Procedure,568
31231,Nasal polypectomy,Procedure,569
95816,EEG,Diagnostic,570
35301,Bypass graft,Surgery,571
80048,Thyroid panel,Lab,572
90791,Psychiatric diagnostic eval,Evaluation & Management,573
12001,Simple repair of wound,Procedure,574
99285,Emergency department visit - high severity,Emergency,575
99213,Office/outpatient visit EST,Evaluation & Management,576
90471,Immunization administration,Preventive,577
90792,Rheumatology consult,Evaluation & Management,578
20610,"Arthrocentesis, small joint",Procedure,579
99213,Office/outpatient visit EST,Evaluation & Management,580
54520,Orchiectomy,Surgery,581
71020,Chest X-ray,Imaging,582
00520,Unknown Procedure,Procedure,583
90791,Psychiatric diagnostic eval,Evaluation & Management,584
95810,Nerve conduction study,Diagnostic,585
90791,Psychiatric diagnostic eval,Evaluation & Management,586
50360,Dialysis access procedure,Procedure,587
99214,Office visit extended,Evaluation & Management,588
99213,Pediatric office visit,Evaluation & Management,589
93306,Unknown Procedure,Imaging,590
50360,Dialysis access procedure,Procedure,591
35301,Bypass graft,Surgery,592
00520,Anesthesia for procedures,Procedure,593
90792,Rheumatology consult,Evaluation & Management,594
11721,"Debride nail, 6 or more",Procedure,595
15734,Scar revision,Procedure,596
90471,Immunization administration,Preventive,597
90471,Immunization administration,Preventive,598
31500,Intubation,Procedure,599
00520,Anesthesia for procedures,Procedure,600
99213,Office visit,Evaluation & Management,601
88305,Pathology tissue exam,Lab,602
99214,Office visit extended,Evaluation & Management,603
71020,Chest X-ray,Imaging,604
93000,Electrocardiogram,Diagnostic,605
96372,Therapeutic injection,Procedure,606
96413,Chemotherapy administration,Procedure,607
90791,Unknown Procedure,Evaluation & Management,608
92511,Speech audiometry,Diagnostic,609
99214,Office visit extended,Evaluation & Management,610
90791,Psychiatric diagnostic eval,Evaluation & Management,611
90471,Immunization administration,Preventive,612
31231,Nasal polypectomy,Procedure,613
54520,Orchiectomy,Surgery,614
88305,Pathology tissue exam,Lab,615
12001,Simple repair of wound,Procedure,616
90792,Rheumatology consult,Evaluation & Management,617
96372,Therapeutic injection,Procedure,618
58150,Cesarean delivery,Surgery,619
80050,General health panel,Lab,620
88305,Pathology tissue exam,Lab,621
90471,Immunization administration,Preventive,622
93000,Electrocardiogram,Diagnostic,623
90791,Psychiatric diagnostic eval,Evaluation & Management,624
A0425,Ambulance service,Procedure,625
99214,Office visit extended,Evaluation & Management,626
71020,Chest X-ray,Imaging,627
71020,Chest x-ray,Imaging,628
88305,Pathology tissue exam,Lab,629
95816,EEG,Diagnostic,630
76830,Pelvic ultrasound,Imaging,631
93458,Cardiac cath,Procedure,632
70450,Ct head/brain w/o dye,Imaging,633
90792,Rheumatology consult,Evaluation & Management,634
96413,Unknown Procedure,Procedure,635
93306,Unknown Procedure,Imaging,636
00520,Anesthesia for procedures,Procedure,637
95117,Allergy injection,Procedure,638
90791,Psychiatric diagnostic eval,Evaluation & Management,639
95117,Allergy injection,Procedure,640
95115,Allergy testing,Procedure,641
94010,Pulmonary function test,Diagnostic,642
88305,Tissue exam by pathologist,Lab,643
43239,EGD,Procedure,644
99213,Office/outpatient visit EST,Evaluation & Management,645
50360,Dialysis access procedure,Procedure,646
27447,Total knee arthroplasty,Surgery,647
93306,Echocardiogram,Imaging,648
35301,Bypass graft,Surgery,649
70450,Ct head/brain w/o dye,Imaging,650
35301,Bypass graft,Surgery,651
50360,Dialysis access procedure,Procedure,652
96372,Therapeutic injection,Procedure,653
11721,Debridement nail,Procedure,654
95810,Nerve conduction study,Diagnostic,655
67028,Retinal surgery,Surgery,656
43239,EGD,Procedure,657
93000,Electrocardiogram,Diagnostic,658
43239,EGD,Procedure,659
87070,"Culture, bacterial",Lab,660
90792,Rheumatology consult,Evaluation & Management,661
58150,Cesarean delivery,Surgery,662
95816,EEG,Diagnostic,663
88305,Tissue exam by pathologist,Lab,664
00520,Anesthesia for procedures,Procedure,665
88305,Pathology tissue exam,Lab,666
95115,Allergy testing,Procedure,667
88305,Pathology tissue exam,Lab,668
12001,Simple repair of wound,Procedure,669
67028,Retinal surgery,Surgery,670
99285,Emergency department visit - high severity,Emergency,671
99285,Emergency department visit - high severity,Emergency,672
90471,Immunization administration,Preventive,673
88305,Pathology tissue exam,Lab,674
95115,Allergy testing,Procedure,675
35301,Bypass graft,Surgery,676
A0425,Ambulance service,Procedure,677
93458,Cardiac cath,Procedure,678
99213,Pediatric office visit,Evaluation & Management,679
12001,Simple repair of wound,Procedure,680
88305,Tissue exam by pathologist,Lab,681
88305,Pathology tissue exam,Lab,682
88305,Tissue exam by pathologist,Lab,683
17000,Destruction benign lesion,Procedure,684
99213,Office visit,Evaluation & Management,685
92014,Ophthalmology exam,Evaluation & Management,686
94010,Pulmonary function test,Diagnostic,687
99213,Office/outpatient visit EST,Evaluation & Management,688
49900,Appendectomy,Surgery,689
17000,Destruction benign lesion,Procedure,690
71020,Chest X-ray,Imaging,691
80050,General health panel,Lab,692
96413,Chemotherapy administration,Procedure,693
87070,"Culture, bacterial",Lab,694
00520,Anesthesia for procedures,Procedure,695
90791,Psychiatric diagnostic eval,Evaluation & Management,696
15734,Scar revision,Procedure,697
35301,Bypass graft,Surgery,698
88305,Pathology tissue exam,Lab,699
15734,Scar revision,Procedure,700
95810,Nerve conduction study,Diagnostic,701
15734,Scar revision,Procedure,702
31231,Nasal polypectomy,Procedure,703
